Date,Week,Month,Country,Region,DC_ID,DC_Name,DC_Manager,Team_Leader,Team,Shift,Employee_ID,Employee_Name,Role,SelectionRate_Cases,PickRate,ReplenishmentRate,IdleSelectionTime_pct,OnTaskTime_pct,Overtime_pct,LaborHours,LaborCost_EUR,OrdersProcessed,UnitsProcessed,ForecastVolume,ActualVolume,CapacityUtilization_pct,EquipmentDowntime_Min,InventoryAccuracy_pct,PickingErrorRate_pct,OnTimeShipment_pct,Absenteeism_pct,SafetyIncidents,Anomaly_Scenario
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_D,Team_D,Night,EMP0281,Employee_0281,Replenisher,167.8,134.3,114.3,4.4,88.2,8.0,8.24,264.6,208,690,1067,1001,100.1,35.3,99.9,1.96,99.8,2.2,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_B,Team_B,Evening,EMP0075,Employee_0075,Warehouse Associate,182.5,136.5,128.5,6.3,89.5,5.8,9.04,243.75,247,1400,913,979,103.1,14.0,98.9,2.09,97.9,4.0,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC011,Brussels DC,Manager_Brussels,TL_DC011_B,Team_B,Evening,EMP0332,Employee_0332,Picker,167.5,138.1,121.7,6.8,86.6,3.7,8.09,272.41,296,918,934,898,105,25.7,96.1,2.18,95.4,4.2,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC011,Brussels DC,Manager_Brussels,TL_DC011_A,Team_A,Night,EMP0325,Employee_0325,Picker,158.3,104.8,155.0,9.0,89.5,4.5,8.98,230.55,201,1149,857,1019,105,9.0,100,2.35,99.7,2.9,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_B,Team_B,Morning,EMP0138,Employee_0138,Replenisher,182.6,152.9,144.8,6.3,90.9,6.3,9.0,233.02,262,850,1035,986,75.8,9.8,96.9,1.8,100,3.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_C,Team_C,Evening,EMP0148,Employee_0148,Picker,173.9,146.5,152.0,4.0,89.1,6.4,8.36,305.46,220,1239,1030,1152,88.6,11.3,97.9,2.92,95.6,3.2,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC012,Antwerp DC,Manager_Antwerp,TL_DC012_D,Team_D,Morning,EMP0379,Employee_0379,Packer,152.7,165.5,141.7,6.9,87.3,4.7,7.54,212.03,310,1494,800,894,85.1,11.8,98.9,1.93,97.2,0.6,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_D,Team_D,Evening,EMP0187,Employee_0187,Replenisher,157.7,142.4,120.2,5.9,94.7,2.5,7.55,274.45,284,978,968,1057,84.6,9.2,98.4,1.88,97.1,3.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC007,Berlin DC,Manager_Berlin,TL_DC007_B,Team_B,Night,EMP0204,Employee_0204,Replenisher,158.1,134.0,131.4,6.6,88.9,9.3,8.8,281.53,278,1576,970,1104,105,35.1,99.7,2.99,97.4,4.5,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_A,Team_A,Evening,EMP0005,Employee_0005,Warehouse Associate,194.9,169.5,143.0,7.6,89.3,2.1,8.17,266.53,292,1585,710,797,93.8,37.7,97.1,2.26,96.7,4.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_C,Team_C,Morning,EMP0245,Employee_0245,Picker,180.7,137.9,120.0,6.4,88.1,7.1,8.98,328.47,283,1086,1011,1127,102.5,10.0,97.6,0.22,96.0,1.9,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_B,Team_B,Night,EMP0267,Employee_0267,Replenisher,184.9,136.9,151.1,8.7,86.0,5.8,7.99,231.95,282,1593,927,974,97.4,27.9,98.6,2.15,99.3,3.6,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_B,Team_B,Night,EMP0236,Employee_0236,Packer,168.6,149.0,118.9,8.5,85.3,3.3,9.75,267.79,312,1029,820,916,83.3,18.1,96.6,2.87,97.3,1.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_B,Team_B,Evening,EMP0140,Employee_0140,Warehouse Associate,202.4,168.6,116.4,5.1,87.7,4.3,8.61,312.07,292,1138,566,611,47.0,6.2,97.9,2.09,97.8,3.5,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_C,Team_C,Morning,EMP0182,Employee_0182,Warehouse Associate,175.5,119.2,139.7,8.4,87.0,4.6,7.82,250.44,254,1414,964,1141,91.3,3.2,98.5,2.14,96.1,4.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_D,Team_D,Evening,EMP0250,Employee_0250,Warehouse Associate,161.9,135.8,132.1,7.9,90.0,4.7,9.06,240.14,249,919,1157,1112,101.1,19.7,98.1,1.7,95.2,3.2,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_A,Team_A,Morning,EMP0071,Employee_0071,Packer,201.1,145.7,149.9,7.0,90.1,4.5,8.05,285.12,271,990,934,1005,105,20.1,96.7,2.36,97.8,3.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_C,Team_C,Night,EMP0056,Employee_0056,Replenisher,151.7,154.4,114.0,9.2,89.5,8.8,9.54,357.61,333,1289,1003,1048,87.3,21.5,97.0,1.79,96.9,0.4,0,None
