Employee_ID,Employee_Name,Role,Team,Team_Leader,Shift_Manager,DC_Manager,DC_ID,Region,Country
EMP0001,Employee_0001,Picker,Team_A,TL_DC001_A,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0002,Employee_0002,Picker,Team_A,TL_DC001_A,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0003,Employee_0003,Warehouse Associate,Team_A,TL_DC001_A,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0004,Employee_0004,Warehouse Associate,Team_A,TL_DC001_A,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0005,Employee_0005,Warehouse Associate,Team_A,TL_DC001_A,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0006,Employee_0006,Picker,Team_A,TL_DC001_A,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0007,Employee_0007,Picker,Team_A,TL_DC001_A,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0008,Employee_0008,Replenisher,Team_A,TL_DC001_A,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0009,Employee_0009,Warehouse Associate,Team_B,TL_DC001_B,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0010,Employee_0010,Warehouse Associate,Team_B,TL_DC001_B,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0011,Employee_0011,Replenisher,Team_B,TL_DC001_B,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0012,Employee_0012,Warehouse Associate,Team_B,TL_DC001_B,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0013,Employee_0013,Replenisher,Team_B,TL_DC001_B,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0014,Employee_0014,Warehouse Associate,Team_B,TL_DC001_B,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0015,Employee_0015,Picker,Team_B,TL_DC001_B,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0016,Employee_0016,Replenisher,Team_B,TL_DC001_B,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0017,Employee_0017,Replenisher,Team_C,TL_DC001_C,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0018,Employee_0018,Warehouse Associate,Team_C,TL_DC001_C,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0019,Employee_0019,Replenisher,Team_C,TL_DC001_C,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0020,Employee_0020,Replenisher,Team_C,TL_DC001_C,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0021,Employee_0021,Warehouse Associate,Team_C,TL_DC001_C,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0022,Employee_0022,Picker,Team_C,TL_DC001_C,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0023,Employee_0023,Warehouse Associate,Team_C,TL_DC001_C,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0024,Employee_0024,Warehouse Associate,Team_C,TL_DC001_C,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0025,Employee_0025,Warehouse Associate,Team_D,TL_DC001_D,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0026,Employee_0026,Replenisher,Team_D,TL_DC001_D,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0027,Employee_0027,Warehouse Associate,Team_D,TL_DC001_D,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0028,Employee_0028,Picker,Team_D,TL_DC001_D,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0029,Employee_0029,Packer,Team_D,TL_DC001_D,Shift_Manager_Morning,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0030,Employee_0030,Picker,Team_D,TL_DC001_D,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0031,Employee_0031,Picker,Team_D,TL_DC001_D,Shift_Manager_Night,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0032,Employee_0032,Warehouse Associate,Team_D,TL_DC001_D,Shift_Manager_Evening,Manager_Amsterdam,DC001,Benelux,Netherlands
EMP0033,Employee_0033,Packer,Team_A,TL_DC002_A,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0034,Employee_0034,Packer,Team_A,TL_DC002_A,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0035,Employee_0035,Warehouse Associate,Team_A,TL_DC002_A,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0036,Employee_0036,Warehouse Associate,Team_A,TL_DC002_A,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0037,Employee_0037,Replenisher,Team_A,TL_DC002_A,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0038,Employee_0038,Warehouse Associate,Team_A,TL_DC002_A,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0039,Employee_0039,Replenisher,Team_A,TL_DC002_A,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0040,Employee_0040,Warehouse Associate,Team_A,TL_DC002_A,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0041,Employee_0041,Warehouse Associate,Team_B,TL_DC002_B,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0042,Employee_0042,Replenisher,Team_B,TL_DC002_B,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0043,Employee_0043,Picker,Team_B,TL_DC002_B,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0044,Employee_0044,Packer,Team_B,TL_DC002_B,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0045,Employee_0045,Warehouse Associate,Team_B,TL_DC002_B,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0046,Employee_0046,Warehouse Associate,Team_B,TL_DC002_B,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0047,Employee_0047,Packer,Team_B,TL_DC002_B,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0048,Employee_0048,Warehouse Associate,Team_B,TL_DC002_B,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0049,Employee_0049,Warehouse Associate,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0050,Employee_0050,Picker,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0051,Employee_0051,Replenisher,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0052,Employee_0052,Picker,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0053,Employee_0053,Replenisher,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0054,Employee_0054,Packer,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0055,Employee_0055,Warehouse Associate,Team_C,TL_DC002_C,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0056,Employee_0056,Replenisher,Team_C,TL_DC002_C,Shift_Manager_Evening,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0057,Employee_0057,Replenisher,Team_D,TL_DC002_D,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0058,Employee_0058,Packer,Team_D,TL_DC002_D,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0059,Employee_0059,Warehouse Associate,Team_D,TL_DC002_D,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0060,Employee_0060,Warehouse Associate,Team_D,TL_DC002_D,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0061,Employee_0061,Picker,Team_D,TL_DC002_D,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0062,Employee_0062,Warehouse Associate,Team_D,TL_DC002_D,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0063,Employee_0063,Picker,Team_D,TL_DC002_D,Shift_Manager_Night,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0064,Employee_0064,Packer,Team_D,TL_DC002_D,Shift_Manager_Morning,Manager_Rotterdam,DC002,Benelux,Netherlands
EMP0065,Employee_0065,Picker,Team_A,TL_DC003_A,Shift_Manager_Night,Manager_Utrecht,DC003,Benelux,Netherlands
